method,k,qps,recall,query_time_ms,speedup_vs_flat,configuration
Flat Search,10,80.45,1.0,12.43,1.0,Exhaustive search
Flat Search,50,80.46,1.0,12.43,1.0,Exhaustive search
Flat Search,100,79.95,1.0,12.51,1.0,Exhaustive search
IVF Search (Best),10,147.37,0.97,6.79,1.83,n_probe=16
IVF Search (Best),50,150.69,0.979,6.64,1.87,n_probe=16
IVF Search (Best),100,147.23,0.979,6.79,1.84,n_probe=16
